id,created_at,source,retweets,favorites,text
690315366564626432,2016-01-21T23:29:43Z,Twitter for iPhone,NA,NA,"Thank you, New Hampshire!
#Trump2016 https://t.co/TG9oZKly4l"
690315667636023296,2016-01-21T23:30:55Z,Twitter for iPhone,NA,NA,#Trump2016 #MakeAmericaGreatAgain https://t.co/vfUwGIGjN4
690336644281581568,2016-01-22T00:54:16Z,Twitter for iPhone,NA,NA,"Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump."
690337376061788160,2016-01-22T00:57:10Z,Twitter for iPhone,NA,NA,"Thank you, Iowa! #FITN #IACaucus
#MakeAmericaGreatAgain #Trump2016 https://t.co/wVJldvTSag"
690382564494839808,2016-01-22T03:56:44Z,Twitter for iPhone,NA,NA,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!
690382619213742080,2016-01-22T03:56:57Z,Twitter for iPhone,NA,NA,"Very few people read the National Review because it only knows how to criticize, but not how to lead."
690382722162913280,2016-01-22T03:57:22Z,Twitter for iPhone,NA,NA,"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!"
690404308010057728,2016-01-22T05:23:08Z,Twitter for iPhone,NA,NA,RT @williebosshog: Make America Great Again! #Trump2016 https://t.co/1h5j4DZDgy
690528062190944256,2016-01-22T13:34:54Z,Twitter for Android,NA,NA,"Ted Cruz complains about my views on eminent domain, but without it we wouldn't have roads, highways, airports, schools or even pipelines."
690528407117889536,2016-01-22T13:36:16Z,Twitter for Android,NA,NA,"""@realOllieTaylor:  Isn't it time we had a president? Let goofy Glen keep Canada Cruz who can't win. The American people have Trump!"""
690528526181601280,2016-01-22T13:36:44Z,Twitter for Android,NA,NA,"""@BornToBeGOP: @realDonaldTrump No sleep for the #TrumpTrain!"""
690529122326413312,2016-01-22T13:39:06Z,Twitter for Android,NA,NA,"""@NeilTurner_: @realDonaldTrump https://t.co/uvn95NB6M0 With your help we can #MakeAmericaGreatAgain! #VoteTrump"""
